,Workload_Name,Frequency,Voltage,Core_Count,Actual,EPH_0x11:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x1b:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x50:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x14:Frequency_A15:Voltage_A15_Squared_Percentage,EPH_0x19:Frequency_A15:Voltage_A15_Squared_Percentage
768,mpeg4_lq_mp,800,0.916059028,1,0.225920319,6.712749854,2.543141673,0.893667241,5.039608426,1.508442986
769,par_mem_mp,800,0.905744863,1,0.411586788,26.7155398,2.046759881,7.618318223,2.462799231,10.09865403
770,mp_bus_spd,800,0.902260274,1,0.802828466,35.0126368,13.36308418,6.290142115,16.58089624,3.554766364
771,mp_bus_spd2,800,0.902474662,1,0.850459959,33.16419349,12.1222966,6.864246097,19.26570873,4.154797457
772,mp_dhry,800,0.911515411,1,0.440746199,27.8909875,8.472203803,2.054401991,15.1813572,0.00895396
773,mp_mflops,800,0.91505102,1,0.255322619,15.03327093,5.275621644,0.370672147,0.921176385,0.756455172
774,mp_lp_neon,800,0.901411565,1,0.572026442,32.9402441,8.078149984,3.896702137,21.47382269,0.515556592
775,mp_neon_mflops,800,0.905532095,1,0.788661196,29.84273928,13.22272184,1.438191149,20.05705357,3.731201918
776,mp_randmem,800,0.902748288,1,0.6788555,29.87110179,11.78360115,5.086403845,20.83735443,0.546898264
777,mp_whets,800,0.904880952,1,0.723771735,35.69085647,13.95373642,0.063207066,22.81732026,0.00649099
778,openmp_mem_spd,800,0.904324324,1,1.092961338,39.10604708,21.71990103,4.173902572,7.314241136,7.154480216
779,openmp_mflops,800,0.905935374,1,1.362795912,33.33026699,17.51104336,1.606677867,26.20771071,3.989002706
780,idle,800,0.91620777,2,0.182358088,1.343185831,0.328743067,0.111976942,0.938340671,0.020807117
781,basicmath,800,0.907039931,2,0.504893104,23.85702476,12.337114,0.96362025,25.73237341,0.159694732
782,bitcount,800,0.902263514,2,0.60837375,27.63363097,20.66258953,0.095531606,24.13881176,0.016259265
783,qsort,800,0.907137931,2,0.4972354,25.3026104,12.64818582,0.699780054,22.33560674,0.665520135
